onset	duration	trial_type	response_time	accuracy	stimtype	nback
364.01517605781555	1.0	characters_1back	0.5432348251342773	1	chinese_characters	1
366.0160050392151	1.0	characters_1back	0.886462926864624	1	chinese_characters	1
368.01682591438293	1.0	characters_1back	0.6287550926208496	1	chinese_characters	1
372.0184099674225	1.0	scenes_2back	0.4931058883666992	1	scenes	2
374.0192699432373	1.0	scenes_2back	0.6764318943023682	1	scenes	2
376.02004194259644	1.0	scenes_2back	0.6557579040527344	1	scenes	2
378.02091002464294	1.0	scenes_2back	n/a	0	scenes	2
380.0216598510742	1.0	scenes_2back	0.6382021903991699	1	scenes	2
382.0225269794464	1.0	scenes_2back	0.49233007431030273	1	scenes	2
384.00667905807495	1.0	scenes_2back	0.8623199462890625	1	scenes	2
386.00755882263184	1.0	scenes_2back	0.5744431018829346	0	scenes	2
388.008358001709	1.0	scenes_2back	0.7997708320617676	1	scenes	2
390.00921392440796	1.0	scenes_2back	0.5869300365447998	1	scenes	2
394.0109028816223	1.0	scenes_1back	0.6214239597320557	1	scenes	1
396.01160883903503	1.0	scenes_1back	0.548842191696167	1	scenes	1
398.0124628543854	1.0	scenes_1back	0.48598217964172363	1	scenes	1
400.01326990127563	1.0	scenes_1back	0.6091351509094238	1	scenes	1
402.0141010284424	1.0	scenes_1back	0.6103978157043457	1	scenes	1
404.01494002342224	1.0	scenes_1back	0.7156879901885986	1	scenes	1
406.01573395729065	1.0	scenes_1back	0.5460340976715088	1	scenes	1
408.01661682128906	1.0	scenes_1back	0.5800011157989502	1	scenes	1
410.01736187934875	1.0	scenes_1back	0.744408130645752	1	scenes	1
412.01817297935486	1.0	scenes_1back	0.6465928554534912	1	scenes	1
416.019907951355	1.0	faces_1back	0.5550529956817627	1	faces	1
418.0206308364868	1.0	faces_1back	0.6261742115020752	1	faces	1
420.0214970111847	1.0	faces_1back	0.6456239223480225	1	faces	1
422.0222978591919	1.0	faces_1back	0.5168139934539795	1	faces	1
424.02311182022095	1.0	faces_1back	0.6009740829467773	1	faces	1
426.02398204803467	1.0	faces_1back	0.7962439060211182	1	faces	1
428.02478790283203	1.0	faces_1back	0.8365199565887451	1	faces	1
430.0256018638611	1.0	faces_1back	0.572767972946167	1	faces	1
432.0264148712158	1.0	faces_1back	0.6398839950561523	1	faces	1
434.02725887298584	1.0	faces_1back	0.6761951446533203	1	faces	1
