onset	duration	is_target	trial_type
 0.000000 	0.5	0	blank
 0.500000 	0.5	0	blank
 1.000000 	0.5	0	blank
 1.500000 	0.5	0	blank
 2.000000 	0.5	0	blank
 2.500000 	0.5	0	blank
 3.000000 	0.5	0	blank
 3.500000 	0.5	0	blank
 4.000000 	0.5	0	blank
 4.500000 	0.5	0	blank
 5.000000 	0.5	0	blank
 5.500000 	0.5	0	blank
 6.000000 	0.5	0	blank
 6.500000 	0.5	0	blank
 7.000000 	0.5	0	blank
 7.500000 	0.5	0	blank
 8.000000 	0.5	0	blank
 8.500000 	0.5	0	blank
 9.000000 	0.5	0	blank
 9.500000 	0.5	0	blank
 10.000000 	0.5	0	blank
 10.500000 	0.5	0	blank
 11.000000 	0.5	0	blank
 11.500000 	0.5	0	blank
 12.000000 	0.5	0	house
 12.500000 	0.5	0	house
 13.000000 	0.5	0	house
 13.500000 	0.5	0	house
 14.000000 	0.5	0	house
 14.500000 	0.5	0	house
 15.000000 	0.5	1	scrambled
 15.500000 	0.5	0	house
 16.000000 	0.5	0	blank
 16.500000 	0.5	0	blank
 17.000000 	0.5	0	blank
 17.500000 	0.5	0	blank
 18.000000 	0.5	0	blank
 18.500000 	0.5	0	blank
 19.000000 	0.5	0	blank
 19.500000 	0.5	0	blank
 20.000000 	0.5	0	word
 20.500000 	0.5	0	word
 21.000000 	0.5	0	word
 21.500000 	0.5	0	word
 22.000000 	0.5	1	scrambled
 22.500000 	0.5	0	word
 23.000000 	0.5	0	word
 23.500000 	0.5	0	word
 24.000000 	0.5	0	word
 24.500000 	0.5	0	word
 25.000000 	0.5	0	word
 25.500000 	0.5	0	word
 26.000000 	0.5	0	word
 26.500000 	0.5	0	word
 27.000000 	0.5	0	word
 27.500000 	0.5	0	word
 28.000000 	0.5	0	blank
 28.500000 	0.5	0	blank
 29.000000 	0.5	0	blank
 29.500000 	0.5	0	blank
 30.000000 	0.5	0	blank
 30.500000 	0.5	0	blank
 31.000000 	0.5	0	blank
 31.500000 	0.5	0	blank
 32.000000 	0.5	0	guitar
 32.500000 	0.5	0	guitar
 33.000000 	0.5	1	scrambled
 33.500000 	0.5	0	guitar
 34.000000 	0.5	0	guitar
 34.500000 	0.5	0	guitar
 35.000000 	0.5	0	guitar
 35.500000 	0.5	0	guitar
 36.000000 	0.5	0	face
 36.500000 	0.5	0	face
 37.000000 	0.5	0	face
 37.500000 	0.5	0	face
 38.000000 	0.5	0	face
 38.500000 	0.5	0	face
 39.000000 	0.5	0	face
 39.500000 	0.5	0	face
 40.000000 	0.5	0	number
 40.500000 	0.5	0	number
 41.000000 	0.5	0	number
 41.500000 	0.5	0	number
 42.000000 	0.5	0	number
 42.500000 	0.5	0	number
 43.000000 	0.5	0	number
 43.500000 	0.5	0	number
 44.000000 	0.5	0	number
 44.500000 	0.5	0	number
 45.000000 	0.5	1	scrambled
 45.500000 	0.5	0	number
 46.000000 	0.5	0	number
 46.500000 	0.5	0	number
 47.000000 	0.5	0	number
 47.500000 	0.5	0	number
 48.000000 	0.5	0	house
 48.500000 	0.5	0	house
 49.000000 	0.5	0	house
 49.500000 	0.5	0	house
 50.000000 	0.5	0	house
 50.500000 	0.5	0	house
 51.000000 	0.5	0	house
 51.500000 	0.5	0	house
 52.000000 	0.5	0	face
 52.500000 	0.5	0	face
 53.000000 	0.5	0	face
 53.500000 	0.5	0	face
 54.000000 	0.5	0	face
 54.500000 	0.5	0	face
 55.000000 	0.5	0	face
 55.500000 	0.5	1	scrambled
 56.000000 	0.5	0	blank
 56.500000 	0.5	0	blank
 57.000000 	0.5	0	blank
 57.500000 	0.5	0	blank
 58.000000 	0.5	0	blank
 58.500000 	0.5	0	blank
 59.000000 	0.5	0	blank
 59.500000 	0.5	0	blank
 60.000000 	0.5	0	body
 60.500000 	0.5	0	body
 61.000000 	0.5	0	body
 61.500000 	0.5	0	body
 62.000000 	0.5	0	body
 62.500000 	0.5	0	body
 63.000000 	0.5	0	body
 63.500000 	0.5	1	scrambled
 64.000000 	0.5	0	house
 64.500000 	0.5	0	house
 65.000000 	0.5	0	house
 65.500000 	0.5	0	house
 66.000000 	0.5	0	house
 66.500000 	0.5	0	house
 67.000000 	0.5	0	house
 67.500000 	0.5	0	house
 68.000000 	0.5	0	number
 68.500000 	0.5	0	number
 69.000000 	0.5	0	number
 69.500000 	0.5	0	number
 70.000000 	0.5	0	number
 70.500000 	0.5	0	number
 71.000000 	0.5	0	number
 71.500000 	0.5	0	number
 72.000000 	0.5	0	body
 72.500000 	0.5	0	body
 73.000000 	0.5	0	body
 73.500000 	0.5	0	body
 74.000000 	0.5	0	body
 74.500000 	0.5	0	body
 75.000000 	0.5	0	body
 75.500000 	0.5	0	body
 76.000000 	0.5	0	blank
 76.500000 	0.5	0	blank
 77.000000 	0.5	0	blank
 77.500000 	0.5	0	blank
 78.000000 	0.5	0	blank
 78.500000 	0.5	0	blank
 79.000000 	0.5	0	blank
 79.500000 	0.5	0	blank
 80.000000 	0.5	0	car
 80.500000 	0.5	0	car
 81.000000 	0.5	0	car
 81.500000 	0.5	0	car
 82.000000 	0.5	0	car
 82.500000 	0.5	0	car
 83.000000 	0.5	0	car
 83.500000 	0.5	0	car
 84.000000 	0.5	0	number
 84.500000 	0.5	0	number
 85.000000 	0.5	0	number
 85.500000 	0.5	0	number
 86.000000 	0.5	0	number
 86.500000 	0.5	1	scrambled
 87.000000 	0.5	0	number
 87.500000 	0.5	0	number
 88.000000 	0.5	0	face
 88.500000 	0.5	1	scrambled
 89.000000 	0.5	0	face
 89.500000 	0.5	0	face
 90.000000 	0.5	0	face
 90.500000 	0.5	0	face
 91.000000 	0.5	0	face
 91.500000 	0.5	0	face
 92.000000 	0.5	0	face
 92.500000 	0.5	0	face
 93.000000 	0.5	0	face
 93.500000 	0.5	0	face
 94.000000 	0.5	0	face
 94.500000 	0.5	0	face
 95.000000 	0.5	0	face
 95.500000 	0.5	0	face
 96.000000 	0.5	0	blank
 96.500000 	0.5	0	blank
 97.000000 	0.5	0	blank
 97.500000 	0.5	0	blank
 98.000000 	0.5	0	blank
 98.500000 	0.5	0	blank
 99.000000 	0.5	0	blank
 99.500000 	0.5	0	blank
 100.000000 	0.5	0	blank
 100.500000 	0.5	0	blank
 101.000000 	0.5	0	blank
 101.500000 	0.5	0	blank
 102.000000 	0.5	0	blank
 102.500000 	0.5	0	blank
 103.000000 	0.5	0	blank
 103.500000 	0.5	0	blank
 104.000000 	0.5	0	face
 104.500000 	0.5	0	face
 105.000000 	0.5	0	face
 105.500000 	0.5	0	face
 106.000000 	0.5	1	scrambled
 106.500000 	0.5	0	face
 107.000000 	0.5	0	face
 107.500000 	0.5	0	face
 108.000000 	0.5	0	place
 108.500000 	0.5	0	place
 109.000000 	0.5	0	place
 109.500000 	0.5	0	place
 110.000000 	0.5	0	place
 110.500000 	0.5	0	place
 111.000000 	0.5	0	place
 111.500000 	0.5	0	place
 112.000000 	0.5	0	place
 112.500000 	0.5	0	place
 113.000000 	0.5	0	place
 113.500000 	0.5	0	place
 114.000000 	0.5	0	place
 114.500000 	0.5	1	scrambled
 115.000000 	0.5	0	place
 115.500000 	0.5	0	place
 116.000000 	0.5	0	blank
 116.500000 	0.5	0	blank
 117.000000 	0.5	0	blank
 117.500000 	0.5	0	blank
 118.000000 	0.5	0	blank
 118.500000 	0.5	0	blank
 119.000000 	0.5	0	blank
 119.500000 	0.5	0	blank
 120.000000 	0.5	0	house
 120.500000 	0.5	0	house
 121.000000 	0.5	0	house
 121.500000 	0.5	0	house
 122.000000 	0.5	1	scrambled
 122.500000 	0.5	0	house
 123.000000 	0.5	0	house
 123.500000 	0.5	0	house
 124.000000 	0.5	0	guitar
 124.500000 	0.5	0	guitar
 125.000000 	0.5	0	guitar
 125.500000 	0.5	0	guitar
 126.000000 	0.5	0	guitar
